hitid,hittypeid,title,description,reward,creationtime,assignments,assignmentid,assignmentaccepttime,assignmentsubmittime,exp,condition,condition_other,filter,response,lang_item,complex_item,simple_item,trial,exp2,measure,total_hit_time,dow,hour,duplicateS,workerid
24BL0XULRGNTUC9MIIO5LP7PAF94QP,261PJWKUDD8X549QZEQ0H6UTOIBALB,What does this word mean? (2 mins),Short 2-minute word game.,$0.20 ,3/10/14 10:39,30,2EXUUKQOYGNIFUTS4T70707W791YGF,3/10/14 10:48,3/10/14 10:49,4,short,NA,TRUE,simple,"""paku""",c_3,s_8,NA,4,fc,33,Mon,13,no,1
24BL0XULRGNTUC9MIIO5LP7PAF94QP,261PJWKUDD8X549QZEQ0H6UTOIBALB,What does this word mean? (2 mins),Short 2-minute word game.,$0.20 ,3/10/14 10:39,30,2EXUUKQOYGNIFUTS4T70707W791YGF,3/10/14 10:48,3/10/14 10:49,4,short,NA,TRUE,complex,"""mipa""",c_1,s_6,NA,4,fc,33,Mon,13,no,1
24BL0XULRGNTUC9MIIO5LP7PAF94QP,261PJWKUDD8X549QZEQ0H6UTOIBALB,What does this word mean? (2 mins),Short 2-minute word game.,$0.20 ,3/10/14 10:39,30,2EXUUKQOYGNIFUTS4T70707W791YGF,3/10/14 10:48,3/10/14 10:49,4,short,NA,TRUE,simple,"""tibu""",c_2,s_7,NA,4,fc,33,Mon,13,no,1
24BL0XULRGNTUC9MIIO5LP7PAF94QP,261PJWKUDD8X549QZEQ0H6UTOIBALB,What does this word mean? (2 mins),Short 2-minute word game.,$0.20 ,3/10/14 10:39,30,2EXUUKQOYGNIFUTS4T70707W791YGF,3/10/14 10:48,3/10/14 10:49,4,short,NA,TRUE,simple,"""fepo""",c_4,s_5,NA,4,fc,33,Mon,13,no,1
2A30XULRGNTB2WSM92WFV7N86VDR5L,261PJWKUDD8X549QZEQ0H6UTOIBALB,What does this word mean? (2 mins),Short 2-minute word game.,$0.20 ,3/9/14 10:22,30,299HRRLFQ0ON6OXHXP8OFEGVNWAHQZ,3/9/14 10:31,3/9/14 10:32,4,long,NA,TRUE,complex,"""mipatorun""",c_7,s_1,NA,4,fc,51,Sun,13,no,2
2A30XULRGNTB2WSM92WFV7N86VDR5L,261PJWKUDD8X549QZEQ0H6UTOIBALB,What does this word mean? (2 mins),Short 2-minute word game.,$0.20 ,3/9/14 10:22,30,299HRRLFQ0ON6OXHXP8OFEGVNWAHQZ,3/9/14 10:31,3/9/14 10:32,4,long,NA,TRUE,simple,"""pakuwugnum""",c_6,s_4,NA,4,fc,51,Sun,13,no,2
2A30XULRGNTB2WSM92WFV7N86VDR5L,261PJWKUDD8X549QZEQ0H6UTOIBALB,What does this word mean? (2 mins),Short 2-minute word game.,$0.20 ,3/9/14 10:22,30,299HRRLFQ0ON6OXHXP8OFEGVNWAHQZ,3/9/14 10:31,3/9/14 10:32,4,long,NA,TRUE,simple,"""fepolopus""",c_5,s_3,NA,4,fc,51,Sun,13,no,2
2A30XULRGNTB2WSM92WFV7N86VDR5L,261PJWKUDD8X549QZEQ0H6UTOIBALB,What does this word mean? (2 mins),Short 2-minute word game.,$0.20 ,3/9/14 10:22,30,299HRRLFQ0ON6OXHXP8OFEGVNWAHQZ,3/9/14 10:31,3/9/14 10:32,4,long,NA,TRUE,complex,"""kibagronan""",c_8,s_2,NA,4,fc,51,Sun,13,no,2
24BL0XULRGNTUC9MIIO5LP7PAF94QP,261PJWKUDD8X549QZEQ0H6UTOIBALB,What does this word mean? (2 mins),Short 2-minute word game.,$0.20 ,3/10/14 10:39,30,2FKW6NG1FS3NHGPBUKSF5SZPEQIYKI,3/10/14 10:49,3/10/14 10:49,4,short,NA,TRUE,complex,"""fepo""",c_2,s_5,NA,4,fc,35,Mon,13,no,3
24BL0XULRGNTUC9MIIO5LP7PAF94QP,261PJWKUDD8X549QZEQ0H6UTOIBALB,What does this word mean? (2 mins),Short 2-minute word game.,$0.20 ,3/10/14 10:39,30,2FKW6NG1FS3NHGPBUKSF5SZPEQIYKI,3/10/14 10:49,3/10/14 10:49,4,short,NA,TRUE,simple,"""tupa""",c_1,s_8,NA,4,fc,35,Mon,13,no,3
